date,hustle,hustler,inflation,jobless,laid
2004-11-03,0.0,85.7986237623,72.4945267155,1.99358786404,16.6883952638
2004-11-04,13.6850169214,139.987228244,60.4121055963,1.99358786404,41.7209881595
2004-11-05,27.3700338427,94.8300578425,72.4945267155,0.0,50.0651857914
2004-11-06,31.9317061499,130.955794163,60.4121055963,0.0,20.8604940798
2004-11-07,22.8083615356,99.3457748826,76.5220004219,0.0,8.3441976319
2004-11-08,22.8083615356,99.3457748826,64.4395793027,0.0,45.8930869755
2004-11-09,0.0,0.0,0.0,0.0,0.0
2004-11-10,0.0,94.8300578425,100.68684266,1.32905857603,45.8930869755
2004-11-11,4.56167230712,85.7986237623,100.68684266,0.0,41.7209881595
2004-11-12,4.56167230712,54.1886044814,76.5220004219,0.0,37.5488893436
2004-11-13,45.6167230712,99.3457748826,48.329684477,0.0,29.2046917117
2004-11-14,9.12334461424,158.050096404,20.1373685321,0.0,50.0651857914
2004-11-15,4.56167230712,85.7986237623,76.5220004219,0.0,58.4093834233
2004-11-16,13.6850169214,108.377208963,149.016527137,0.0,45.8930869755
2004-11-17,18.2466892285,67.7357556018,72.4945267155,0.0,75.0977786871
2004-11-18,31.9317061499,63.2200385617,100.68684266,0.0,25.0325928957
2004-11-19,0.0,90.3143408024,144.989053431,0.0,108.474569215
2004-11-20,0.0,81.2829067222,60.4121055963,0.0,45.8930869755
2004-11-21,9.12334461424,103.861491923,108.741790073,0.0,20.8604940798
2004-11-22,45.6167230712,99.3457748826,92.6318952476,0.0,41.7209881595
2004-11-23,13.6850169214,121.924360083,80.5494741284,0.0,25.0325928957
2004-11-24,13.6850169214,130.955794163,100.68684266,0.0,33.3767905276
2004-11-25,0.0,99.3457748826,64.4395793027,0.0,58.4093834233
2004-11-26,9.12334461424,94.8300578425,56.3846318899,0.0,29.2046917117
2004-11-27,0.0,103.861491923,100.68684266,0.0,33.3767905276
2004-11-28,9.12334461424,230.301569046,100.68684266,0.0,29.2046917117
2004-11-29,18.2466892285,112.892926003,140.961579725,0.664529288013,33.3767905276
2004-11-30,13.6850169214,72.2514726419,92.6318952476,1.99358786404,41.7209881595
2004-12-01,18.2466892285,103.861491923,112.76926378,0.664529288013,29.2046917117
2004-12-02,13.6850169214,103.861491923,112.76926378,0.664529288013,16.6883952638
2004-12-03,27.3700338427,103.861491923,84.5769478348,0.0,29.2046917117
2004-12-04,9.12334461424,90.3143408024,80.5494741284,0.0,45.8930869755
2004-12-05,0.0,108.377208963,100.68684266,0.0,75.0977786871
2004-12-06,13.6850169214,85.7986237623,64.4395793027,0.0,33.3767905276
2004-12-07,31.9317061499,112.892926003,96.659368954,0.664529288013,37.5488893436
2004-12-08,54.7400676855,72.2514726419,112.76926378,0.664529288013,45.8930869755
2004-12-09,13.6850169214,63.2200385617,120.824211193,0.664529288013,4.17209881595
2004-12-10,13.6850169214,90.3143408024,108.741790073,1.99358786404,29.2046917117
2004-12-11,0.0,121.924360083,100.68684266,0.0,8.3441976319
2004-12-12,0.0,112.892926003,100.68684266,0.0,58.4093834233
2004-12-13,4.56167230712,85.7986237623,128.879158605,0.664529288013,29.2046917117
2004-12-14,27.3700338427,112.892926003,112.76926378,0.0,20.8604940798
2004-12-15,4.56167230712,85.7986237623,100.68684266,0.0,50.0651857914
2004-12-16,18.2466892285,63.2200385617,72.4945267155,0.0,16.6883952638
2004-12-17,9.12334461424,126.440077123,96.659368954,0.0,33.3767905276
2004-12-18,9.12334461424,121.924360083,80.5494741284,0.0,50.0651857914
2004-12-19,13.6850169214,203.207266805,52.3571581834,0.0,20.8604940798
2004-12-20,27.3700338427,108.377208963,64.4395793027,0.0,29.2046917117
2004-12-21,27.3700338427,67.7357556018,36.2472633578,0.0,29.2046917117
2004-12-22,13.6850169214,81.2829067222,72.4945267155,0.0,33.3767905276
2004-12-23,9.12334461424,126.440077123,28.1923159449,1.32905857603,29.2046917117
2004-12-24,22.8083615356,167.081530484,52.3571581834,0.0,45.8930869755
2004-12-25,0.0,149.018662324,56.3846318899,0.0,29.2046917117
2004-12-26,0.0,108.377208963,24.1648422385,1.99358786404,25.0325928957
2004-12-27,18.2466892285,108.377208963,64.4395793027,0.0,37.5488893436
2004-12-28,45.6167230712,76.767189682,84.5769478348,0.0,20.8604940798
2004-12-29,9.12334461424,45.1571704012,64.4395793027,1.32905857603,20.8604940798
2004-12-30,9.12334461424,90.3143408024,68.4670530091,0.0,33.3767905276
2004-12-31,18.2466892285,117.408643043,36.2472633578,2.65811715205,37.5488893436
2005-01-01,18.2466892285,108.377208963,64.4395793027,0.0,16.6883952638
2005-01-02,41.0550507641,153.534379364,84.5769478348,0.0,75.0977786871
2005-01-03,4.56167230712,117.408643043,60.4121055963,0.664529288013,41.7209881595
2005-01-04,31.9317061499,81.2829067222,80.5494741284,0.0,54.2372846074
2005-01-05,18.2466892285,90.3143408024,80.5494741284,0.0,16.6883952638
2005-01-06,4.56167230712,94.8300578425,64.4395793027,0.0,20.8604940798
2005-01-07,13.6850169214,117.408643043,56.3846318899,0.664529288013,50.0651857914
2005-01-08,36.493378457,112.892926003,16.1098948257,0.0,41.7209881595
2005-01-09,50.1783953783,103.861491923,60.4121055963,0.0,62.5814822393
2005-01-10,22.8083615356,139.987228244,104.714316367,0.0,37.5488893436
2005-01-11,41.0550507641,94.8300578425,60.4121055963,0.0,29.2046917117
2005-01-12,45.6167230712,126.440077123,72.4945267155,0.0,25.0325928957
2005-01-13,18.2466892285,85.7986237623,104.714316367,0.664529288013,41.7209881595
2005-01-14,50.1783953783,76.767189682,80.5494741284,0.0,50.0651857914
2005-01-15,59.3017399926,135.471511204,60.4121055963,0.0,16.6883952638
2005-01-16,50.1783953783,126.440077123,96.659368954,1.32905857603,16.6883952638
2005-01-17,31.9317061499,130.955794163,128.879158605,0.0,29.2046917117
2005-01-18,72.986756914,72.2514726419,92.6318952476,0.0,20.8604940798
2005-01-19,63.8634122997,99.3457748826,112.76926378,0.0,33.3767905276
2005-01-20,18.2466892285,99.3457748826,76.5220004219,0.0,37.5488893436
2005-01-21,36.493378457,94.8300578425,100.68684266,0.0,4.17209881595
2005-01-22,45.6167230712,117.408643043,80.5494741284,0.0,50.0651857914
2005-01-23,82.1101015282,108.377208963,88.6044215412,0.0,33.3767905276
2005-01-24,13.6850169214,85.7986237623,112.76926378,0.0,45.8930869755
2005-01-25,41.0550507641,121.924360083,96.659368954,0.0,37.5488893436
2005-01-26,22.8083615356,67.7357556018,100.68684266,0.664529288013,45.8930869755
2005-01-27,18.2466892285,81.2829067222,60.4121055963,0.0,37.5488893436
2005-01-28,54.7400676855,63.2200385617,100.68684266,0.0,16.6883952638
2005-01-29,27.3700338427,81.2829067222,64.4395793027,0.0,58.4093834233
2005-01-30,72.986756914,117.408643043,88.6044215412,0.0,91.7861739509
2005-01-31,54.7400676855,49.6728874413,104.714316367,0.0,25.0325928957
2005-02-01,50.1783953783,76.767189682,56.3846318899,0.664529288013,33.3767905276
2005-02-02,50.1783953783,76.767189682,80.5494741284,0.0,45.8930869755
2005-02-03,31.9317061499,72.2514726419,108.741790073,0.664529288013,45.8930869755
2005-02-04,27.3700338427,94.8300578425,76.5220004219,0.664529288013,37.5488893436
