date,unprofitable,vagabond,vagrant,abundance,accrue
2011-10-12,0.0,78.2066142767,38.8945988112,48.2678581063,15.7884140473
2011-10-13,2.02200647249,193.654473447,31.9491347378,85.8095255223,17.0029074355
2011-10-14,2.02200647249,148.964979575,38.8945988112,46.1226199682,10.9304404943
2011-10-15,0.0,186.206224468,20.8363922203,34.3238102089,7.2869603295
2011-10-16,0.0,107.999610192,40.2836916259,49.3404771753,3.64348016475
2011-10-17,0.0,107.999610192,50.0073413287,61.1392869346,21.8608809885
2011-10-18,2.02200647249,152.689104064,40.2836916259,57.9214297275,13.3594272708
2011-10-19,0.0,134.068481617,22.225485035,93.3178590055,8.50145371775
2011-10-20,0.0,119.17198366,41.6727844406,74.010715763,17.0029074355
2011-10-21,0.0,163.861477532,33.3382275525,47.1952390372,8.50145371775
2011-10-22,3.03300970874,111.723734681,37.5055059965,51.4857153134,3.64348016475
2011-10-23,3.03300970874,107.999610192,36.1164131818,37.541667416,3.64348016475
2011-10-24,2.02200647249,119.17198366,40.2836916259,61.1392869346,13.3594272708
2011-10-25,2.02200647249,115.44785917,40.2836916259,50.4130962443,10.9304404943
2011-10-26,2.02200647249,193.654473447,37.5055059965,40.7595246231,26.7188545415
2011-10-27,0.0,160.137353043,44.45097007,38.614286485,13.3594272708
2011-10-28,0.0,160.137353043,36.1164131818,61.1392869346,6.07246694125
2011-10-29,0.0,126.620232638,15.2800209616,30.0333339328,7.2869603295
2011-10-30,0.0,130.344357128,40.2836916259,40.7595246231,7.2869603295
2011-10-31,2.02200647249,130.344357128,29.1709491084,52.5583343824,17.0029074355
2011-11-01,2.02200647249,156.413228553,29.1709491084,54.7035725204,17.0029074355
2011-11-02,0.0,167.585602022,22.225485035,36.469048347,10.9304404943
2011-11-03,2.02200647249,134.068481617,47.2291556993,70.7928585559,13.3594272708
2011-11-04,0.0,148.964979575,22.225485035,63.2845250727,17.0029074355
2011-11-05,0.0,171.309726511,40.2836916259,27.8880957947,3.64348016475
2011-11-06,3.03300970874,268.136963234,26.392763479,41.8321436921,7.2869603295
2011-11-07,0.0,156.413228553,22.225485035,64.3571441417,13.3594272708
2011-11-08,2.02200647249,145.240855085,48.618248514,68.6476204178,10.9304404943
2011-11-09,2.02200647249,286.757585681,33.3382275525,49.3404771753,4.857973553
2011-11-10,0.0,115.44785917,34.7273203672,52.5583343824,13.3594272708
2011-11-11,0.0,193.654473447,48.618248514,33.2511911399,14.573920659
2011-11-12,0.0,137.792606107,23.6145778497,42.9047627611,7.2869603295
2011-11-13,0.0,163.861477532,26.392763479,43.9773818302,7.2869603295
2011-11-14,0.0,175.033851,37.5055059965,47.1952390372,29.147841318
2011-11-15,4.04401294498,74.4824897873,25.0036706644,58.9940487966,15.7884140473
