date,legal,lucrative,luxury,meritorious,nobility
2011-10-09,70.0919251591,0.0,23.3575112039,0.0,0.0
2011-10-10,83.2976501891,0.0,20.3108793077,0.0,0.0
2011-10-11,92.4400752098,0.0,23.3575112039,0.0,0.0
2011-10-12,93.4559002121,0.0,19.2953353423,0.0,0.0
2011-10-13,88.3767752006,0.0,22.3419672385,0.0,0.0
2011-10-14,78.2185251776,0.0,19.2953353423,0.0,0.0
2011-10-15,60.9495001384,0.0,19.2953353423,0.0,0.0
2011-10-16,63.9969751453,0.0,20.3108793077,0.0,0.0
2011-10-17,85.3293001937,0.0,23.3575112039,0.0,0.0
2011-10-18,89.3926002029,0.0,20.3108793077,0.0,0.0
2011-10-19,88.3767752006,0.0,23.3575112039,0.0,0.0
2011-10-20,87.3609501983,0.0,19.2953353423,0.0,0.0
2011-10-21,77.2027001753,0.0,20.3108793077,0.0,0.0
2011-10-22,66.0286251499,0.0,18.279791377,0.0,0.0
2011-10-23,69.0761001568,0.0,24.3730551693,0.0,0.0
2011-10-24,88.3767752006,0.0,22.3419672385,0.0,0.0
2011-10-25,86.345125196,0.0,22.3419672385,0.0,0.0
2011-10-26,91.4242502075,0.0,21.3264232731,0.0,0.0
2011-10-27,85.3293001937,0.0,19.2953353423,0.0,0.0
2011-10-28,86.345125196,0.0,20.3108793077,0.0,0.0
2011-10-29,59.933675136,0.0,19.2953353423,0.0,0.0
2011-10-30,61.9653251407,0.0,24.3730551693,0.0,0.0
2011-10-31,85.3293001937,0.0,20.3108793077,0.0,0.0
2011-11-01,87.3609501983,0.0,21.3264232731,0.0,0.0
2011-11-02,87.3609501983,0.0,18.279791377,0.0,0.0
2011-11-03,87.3609501983,0.0,18.279791377,0.0,0.0
2011-11-04,79.2343501799,0.0,21.3264232731,0.0,0.0
2011-11-05,69.0761001568,0.0,23.3575112039,0.0,0.0
2011-11-06,65.0128001476,0.0,23.3575112039,0.0,0.0
2011-11-07,83.2976501891,0.0,20.3108793077,0.0,0.0
2011-11-08,88.3767752006,0.0,20.3108793077,0.0,0.0
2011-11-09,84.3134751914,0.0,20.3108793077,0.0,0.0
2011-11-10,82.2818251868,0.0,20.3108793077,0.0,0.0
2011-11-11,78.2185251776,0.0,20.3108793077,0.0,0.0
2011-11-12,59.933675136,0.0,23.3575112039,0.0,0.0
2011-11-13,65.0128001476,0.0,21.3264232731,0.0,0.0
2011-11-14,88.3767752006,0.0,21.3264232731,0.0,0.0
2011-11-15,88.3767752006,0.0,22.3419672385,0.0,0.0
2011-11-16,86.345125196,0.0,21.3264232731,0.0,0.0
2011-11-17,82.2818251868,0.0,21.3264232731,0.0,0.0
2011-11-18,76.1868751729,0.0,17.2642474116,0.0,0.0
2011-11-19,61.9653251407,0.0,23.3575112039,0.0,0.0
2011-11-20,68.0602751545,0.0,25.3885991347,0.0,0.0
2011-11-21,86.345125196,0.0,21.3264232731,0.0,0.0
