date,partnership,patron,patronage,precious,priceless
2011-09-02,87.2480418515,39.3046746365,1.61766860568,54.0693974767,7.39204653978
2011-09-03,37.6997711704,54.2778840218,1.61766860568,48.6624577291,2.77201745242
2011-09-04,42.008316447,52.4062328487,3.23533721136,57.6740239752,6.4680407223
2011-09-05,48.4711343619,43.0479769828,3.23533721136,61.2786504736,4.62002908736
2011-09-06,87.2480418515,37.4330234633,3.23533721136,57.6740239752,4.62002908736
2011-09-07,100.173677681,37.4330234633,3.23533721136,61.2786504736,4.62002908736
2011-09-08,86.1709055323,44.919628156,4.85300581703,63.0809637229,7.39204653978
2011-09-09,78.6309512982,63.6361398877,4.85300581703,61.2786504736,9.24005817472
2011-09-10,48.4711343619,58.0211863682,1.61766860568,48.6624577291,4.62002908736
2011-09-11,44.1625890853,54.8680070179,3.23533721136,52.0218787808,8.31605235725
2011-09-12,96.9422687239,44.7072649775,4.85300581703,69.7093175663,5.54403490483
2011-09-13,93.7108597664,41.6590423654,4.85300581703,65.5475672638,2.77201745242
2011-09-14,101.250814,42.6751165695,6.47067442271,54.1027539321,5.54403490483
2011-09-15,96.9422687239,40.6429681614,4.85300581703,61.3858169614,9.24005817472
2011-09-16,84.016632894,47.7554875896,3.23533721136,58.2645042345,9.24005817472
2011-09-17,47.3939980428,54.8680070179,1.61766860568,54.1027539321,7.39204653978
2011-09-18,47.3939980428,53.8519328139,4.85300581703,50.9814412052,4.62002908736
2011-09-19,90.4794508089,43.6911907735,3.23533721136,59.3049418101,5.54403490483
2011-09-20,101.250814,39.6268939574,6.47067442271,66.5880048395,7.39204653978
2011-09-21,96.9422687239,41.6590423654,3.23533721136,58.2645042345,4.62002908736
2011-09-22,78.6309512982,37.5947455493,4.85300581703,67.6284424151,3.69602326989
2011-09-23,80.7852239366,38.6108197533,9.70601163407,63.4666921126,6.4680407223
2011-09-24,43.0854527662,43.6911907735,3.23533721136,62.426254537,2.77201745242
2011-09-25,56.011088596,48.7715617937,3.23533721136,39.5366278734,4.62002908736
2011-09-26,101.250814,47.7554875896,6.47067442271,63.4666921126,5.54403490483
2011-09-27,107.713631915,49.7876359977,3.23533721136,62.426254537,4.62002908736
2011-09-28,91.5565871281,52.8358586098,3.23533721136,64.5071296882,5.54403490483
2011-09-29,81.8623602557,49.7876359977,3.23533721136,56.1836290833,6.4680407223
