date,expense,expensive,fine,ghetto,intervention
2008-05-09,16.865833807,33.7999020048,107.352754655,23.4216220977,15.3038284578
2008-05-10,9.1995457129,35.208231255,108.66193459,36.9815085753,15.3038284578
2008-05-11,4.59977285645,40.8415482558,107.352754655,35.7487916228,18.0863427229
2008-05-12,19.9323490446,35.208231255,102.116034915,30.8179238128,23.651371253
2008-05-13,15.3325761882,43.6582067562,106.04357472,34.5160746703,34.7814283133
2008-05-14,15.3325761882,42.249877506,99.4976750458,29.5852068603,22.2601141205
2008-05-15,16.865833807,38.0248897554,98.188495111,30.8179238128,26.4338855181
2008-05-16,16.865833807,40.8415482558,96.8793151762,32.0506407653,18.0863427229
2008-05-17,9.1995457129,36.6165605052,113.898654329,33.2833577178,16.6950855904
2008-05-18,4.59977285645,40.8415482558,100.806854981,35.7487916228,12.5213141928
2008-05-19,18.3990914258,40.8415482558,107.352754655,18.4907542877,22.2601141205
2008-05-20,16.865833807,36.6165605052,94.2609553066,24.6543390502,29.2163997832
2008-05-21,13.7993185694,33.7999020048,96.8793151762,33.2833577178,25.0426283856
2008-05-22,12.2660609505,39.4332190056,108.66193459,28.3524899077,20.868856988
2008-05-23,15.3325761882,39.4332190056,99.4976750458,32.0506407653,22.2601141205
2008-05-24,4.59977285645,35.208231255,99.4976750458,36.9815085753,15.3038284578
2008-05-25,6.13303047527,49.291523757,96.8793151762,27.1197729552,11.1300570603
2008-05-26,9.1995457129,43.6582067562,102.116034915,32.0506407653,19.4775998554
2008-05-27,18.3990914258,33.7999020048,92.9517753717,27.1197729552,27.8251426506
2008-05-28,16.865833807,42.249877506,109.971114524,27.1197729552,22.2601141205
2008-05-29,13.7993185694,35.208231255,112.589474394,25.8870560027,18.0863427229
2008-05-30,12.2660609505,40.8415482558,102.116034915,30.8179238128,15.3038284578
2008-05-31,12.2660609505,35.208231255,98.188495111,34.5160746703,13.9125713253
2008-06-01,6.13303047527,43.6582067562,103.42521485,28.3524899077,15.3038284578
2008-06-02,19.9323490446,36.6165605052,104.734394785,25.8870560027,20.868856988
2008-06-03,12.2660609505,38.0248897554,102.116034915,24.6543390502,27.8251426506
2008-06-04,13.7993185694,35.208231255,106.04357472,24.6543390502,23.651371253
2008-06-05,18.3990914258,35.208231255,100.806854981,25.8870560027,18.0863427229
2008-06-06,18.3990914258,36.6165605052,95.5701352414,33.2833577178,23.651371253
2008-06-07,10.7328033317,33.7999020048,91.6425954369,35.7487916228,12.5213141928
2008-06-08,12.2660609505,42.249877506,106.04357472,38.2142255278,29.2163997832
2008-06-09,16.865833807,40.8415482558,100.806854981,30.8179238128,27.8251426506
2008-06-10,15.3325761882,30.9832435044,85.0966957629,28.3524899077,27.8251426506
2008-06-11,12.2660609505,29.5749142542,102.116034915,23.4216220977,19.4775998554
2008-06-12,16.865833807,33.7999020048,94.2609553066,23.4216220977,22.2601141205
2008-06-13,21.4656066634,36.6165605052,106.04357472,23.4216220977,19.4775998554
2008-06-14,7.66628809409,35.208231255,78.5507960888,27.1197729552,22.2601141205
2008-06-15,7.66628809409,36.6165605052,102.116034915,23.4216220977,20.868856988
