date,squander,tariff,underworld,uneconomical,unemployed
2004-09-13,0.0,17.0129666398,30.1497339633,0.0,8.47542890469
2004-09-14,0.0,5.41321665812,33.7677020389,0.0,8.47542890469
2004-09-15,0.0,17.0129666398,43.4156169072,0.0,5.39345475753
2004-09-16,0.0,11.5997499817,31.3557233219,0.0,3.08197414716
2004-09-17,0.0,15.4663333089,42.2096275486,0.0,9.24592244148
2004-09-18,0.0,4.63989999267,15.6778616609,0.0,4.62296122074
2004-09-19,0.0,4.63989999267,44.6216062657,0.0,9.24592244148
2004-09-20,0.0,8.5064833199,34.9736913975,0.0,5.39345475753
2004-09-21,0.0,8.5064833199,51.8575424169,0.0,10.7869095151
2004-09-22,0.0,19.3329166361,16.8838510195,0.0,5.39345475753
2004-09-23,0.0,13.919699978,39.7976488316,0.0,5.39345475753
2004-09-24,0.0,6.18653332356,38.591659473,0.0,15.4098707358
2004-09-25,0.0,4.63989999267,45.8275956242,0.0,0.0
2004-09-26,0.0,4.63989999267,44.6216062657,0.0,4.62296122074
2004-09-27,0.0,13.919699978,34.9736913975,0.0,0.0
2004-09-28,0.0,13.1463833126,37.3856701145,0.0,2.31148061037
2004-09-29,0.0,16.2396499743,30.1497339633,0.0,8.47542890469
2004-09-30,0.0,13.919699978,21.7078084536,0.0,5.39345475753
2004-10-01,0.0,27.839399956,33.7677020389,0.0,9.24592244148
2004-10-02,0.0,4.63989999267,68.7413934364,0.0,14.639377199
2004-10-03,0.0,0.0,21.7078084536,0.0,9.24592244148
2004-10-04,0.0,19.3329166361,16.8838510195,0.0,5.39345475753
2004-10-05,0.0,18.5595999707,25.3257765292,0.0,10.7869095151
2004-10-06,0.0,5.41321665812,13.2658829439,0.0,5.39345475753
2004-10-07,0.0,11.5997499817,31.3557233219,0.0,5.39345475753
2004-10-08,0.0,6.18653332356,19.2958297365,0.0,6.16394829432
2004-10-09,0.0,10.0531166508,47.0335849828,0.0,0.0
2004-10-10,0.0,4.63989999267,30.1497339633,0.0,10.0164159783
2004-10-11,0.0,14.6930166435,22.9137978121,0.0,3.08197414716
2004-10-12,0.0,0.0,36.179680756,0.0,0.0
2004-10-13,0.0,17.7862833052,27.7377552463,0.0,3.85246768395
2004-10-14,0.0,0.0,13.2658829439,0.0,8.47542890469
