date,unprofitable,vagabond,vagrant
2005-03-25,0.0,116.630803901,44.702588653
2005-03-26,0.0,0.0,182.535570333
2005-03-27,0.0,106.633877853,81.9547458637
2005-03-28,0.0,79.9754083895,59.6034515373
2005-03-29,0.0,63.313864975,0.0
2005-03-30,0.0,33.323086829,0.0
2005-03-31,0.0,33.323086829,74.5043144216
2005-04-01,0.0,66.6461736579,0.0
2005-04-02,0.0,103.30156917,115.481687353
2005-04-03,0.0,49.9846302434,0.0
2005-04-04,0.0,0.0,145.283413122
2005-04-05,0.0,0.0,0.0
2005-04-06,0.0,39.9877041947,44.702588653
2005-04-07,0.0,93.3046431211,33.5269414897
2005-04-08,0.0,103.30156917,0.0
2005-04-09,0.0,0.0,0.0
2005-04-10,0.0,166.615434145,0.0
2005-04-11,0.0,0.0,104.30604019
2005-04-12,0.0,29.9907781461,0.0
2005-04-13,0.0,59.9815562921,67.0538829794
2005-04-14,0.0,63.313864975,70.7790987005
2005-04-15,0.0,66.6461736579,74.5043144216
2005-04-16,0.0,163.283125462,0.0
2005-04-17,0.0,56.6492476092,0.0
2005-04-18,0.0,29.9907781461,100.580824469
2005-04-19,0.0,89.9723344382,0.0
2005-04-20,0.0,123.295421267,33.5269414897
2005-04-21,0.0,63.313864975,37.2521572108
2005-04-22,0.0,166.615434145,111.756471632
2005-04-23,0.0,99.9692604869,0.0
2005-04-24,0.0,0.0,111.756471632
2005-04-25,0.0,89.9723344382,0.0
2005-04-26,0.0,116.630803901,163.909491727
2005-04-27,0.0,59.9815562921,100.580824469
2005-04-28,0.0,119.963112584,100.580824469
2005-04-29,0.0,0.0,104.30604019
2005-04-30,0.0,96.636951804,163.909491727
2005-05-01,0.0,149.95389073,167.634707449
2005-05-02,0.0,56.6492476092,0.0
2005-05-03,0.0,29.9907781461,96.8556087481
2005-05-04,0.0,56.6492476092,33.5269414897
2005-05-05,0.0,86.6400257553,67.0538829794
2005-05-06,0.0,63.313864975,70.7790987005
2005-05-07,0.0,0.0,59.6034515373
2005-05-08,0.0,213.267755705,0.0
2005-05-09,0.0,29.9907781461,33.5269414897
2005-05-10,0.0,113.298495218,96.8556087481
2005-05-11,0.0,86.6400257553,33.5269414897
2005-05-12,0.0,89.9723344382,100.580824469
2005-05-13,0.0,159.950816779,108.031255911
2005-05-14,0.0,106.633877853,0.0
2005-05-15,0.0,49.9846302434,171.35992317
2005-05-16,0.0,116.630803901,33.5269414897
2005-05-17,0.0,29.9907781461,63.3286672583
2005-05-18,0.0,116.630803901,96.8556087481
2005-05-19,0.0,0.0,0.0
2005-05-20,0.0,33.323086829,0.0
2005-05-21,0.0,53.3169389263,178.810354612
2005-05-22,0.0,209.935447022,119.206903075
2005-05-23,0.0,114.182437872,68.0241087933
2005-05-24,0.0,74.0642840249,44.1237462443
2005-05-25,0.0,57.0912189359,45.9622356712
2005-05-26,0.0,58.6342248531,23.900362549
2005-05-27,0.0,66.349254439,25.7388519759
2005-05-28,0.0,0.0,42.2852568175
2005-05-29,0.0,38.5751479297,0.0
2005-05-30,0.0,63.2632426046,0.0
2005-05-31,0.0,57.0912189359,68.0241087933
2005-06-01,0.0,38.5751479297,45.9622356712
2005-06-02,0.0,58.6342248531,23.900362549
2005-06-03,0.0,20.0590769234,99.2784290497
2005-06-04,0.0,98.7523786999,38.6082779638
2005-06-05,0.0,67.8922603562,121.340302172
2005-06-06,0.0,58.6342248531,0.0
2005-06-07,0.0,0.0,22.0618731222
2005-06-08,0.0,154.300591719,0.0
2005-06-09,0.0,60.1772307703,71.701087647
2005-06-10,0.0,21.6020828406,0.0
2005-06-11,0.0,0.0,79.0550453544
2005-06-12,0.0,101.838390534,40.4467673906
2005-06-13,0.0,98.7523786999,0.0
2005-06-14,0.0,77.1502958593,45.9622356712
2005-06-15,0.0,38.5751479297,23.900362549
2005-06-16,0.0,20.0590769234,23.900362549
2005-06-17,0.0,66.349254439,0.0
2005-06-18,0.0,35.4891360953,42.2852568175
2005-06-19,0.0,0.0,0.0
2005-06-20,0.0,20.0590769234,23.900362549
2005-06-21,0.0,58.6342248531,69.8625982202
2005-06-22,0.0,40.1181538468,23.900362549
2005-06-23,0.0,41.661159764,23.900362549
2005-06-24,0.0,44.7471715984,0.0
2005-06-25,0.0,0.0,40.4467673906
2005-06-26,0.0,69.4352662734,0.0
2005-06-27,0.0,20.0590769234,0.0
2005-06-28,0.0,58.6342248531,0.0
2005-06-29,0.0,38.5751479297,23.900362549
2005-06-30,0.0,20.0590769234,73.5395770739
2005-07-01,0.0,23.1450887578,0.0
2005-07-02,0.0,35.4891360953,84.570513635
2005-07-03,0.0,38.5751479297,45.9622356712
2005-07-04,0.0,0.0,0.0
2005-07-05,0.0,41.661159764,25.7388519759
2005-07-06,0.0,95.6663668655,22.0618731222
2005-07-07,0.0,58.6342248531,0.0
2005-07-08,0.0,0.0,23.900362549
2005-07-09,0.0,0.0,113.986344465
2005-07-10,0.0,0.0,0.0
2005-07-11,0.0,38.5751479297,0.0
2005-07-12,0.0,55.5482130187,88.2474924887
2005-07-13,0.0,38.5751479297,0.0
2005-07-14,0.0,135.784520712,45.9622356712
2005-07-15,0.0,83.322319528,0.0
2005-07-16,0.0,129.612497044,0.0
2005-07-17,0.0,32.4031242609,0.0
2005-07-18,0.0,57.0912189359,22.0618731222
2005-07-19,0.0,75.6072899421,66.1856193665
2005-07-20,0.0,38.5751479297,22.0618731222
2005-07-21,0.0,20.0590769234,45.9622356712
2005-07-22,0.0,61.7202366874,49.6392145249
2005-07-23,0.0,0.0,38.6082779638
2005-07-24,0.0,100.295384617,40.4467673906
2005-07-25,0.0,94.1233609484,44.1237462443
2005-07-26,0.0,55.5482130187,22.0618731222
2005-07-27,0.0,38.5751479297,45.9622356712
2005-07-28,0.0,137.32752663,23.900362549
2005-07-29,0.0,83.322319528,23.900362549
2005-07-30,0.0,95.6663668655,38.6082779638
2005-07-31,0.0,129.612497044,38.6082779638
2005-08-01,0.0,57.0912189359,22.0618731222
2005-08-02,0.0,37.0321420125,22.0618731222
2005-08-03,0.0,55.5482130187,22.0618731222
2005-08-04,0.0,58.6342248531,45.9622356712
2005-08-05,0.0,41.661159764,0.0
2005-08-06,0.0,63.2632426046,0.0
2005-08-07,0.0,63.2632426046,0.0
2005-08-08,0.0,75.6072899421,44.1237462443
2005-08-09,0.0,37.0321420125,0.0
2005-08-10,0.0,37.0321420125,22.0618731222
2005-08-11,0.0,37.0321420125,68.0241087933
