date,bankruptcy,crisis,debtor,deficit,inflation,liquidation,poverty,recession
2009-02-04,,120.908576336,,,,,48.6375750376,53.5506924988
2009-02-05,,113.899383505,,,,,53.6690483173,56.8976107799
2009-02-06,,98.128699635,,,,,46.9604172777,51.8772333582
2009-02-07,,84.1103139728,,,,,23.4802086388,46.8568559364
2009-02-08,,101.63329605,,,,,38.5746284781,41.8364785147
2009-02-09,,115.651681713,,,,,45.2832595177,65.2649064829
2009-02-10,,115.651681713,,,,,50.3147327975,76.979120467
2009-02-11,,119.156278128,,,,,53.6690483173,55.2241516394
2009-02-12,,124.413172751,,,,,50.3147327975,66.9383656235
2009-02-13,,98.128699635,,,,,40.251786238,40.1630193741
2009-02-14,,85.8626121806,,,,,25.1573663987,40.1630193741
2009-02-15,,87.6149103884,,,,,38.5746284781,43.5099376552
2009-02-16,,126.165470959,,,,,41.9289439979,55.2241516394
2009-02-17,,145.440751245,,,,,57.0233638372,56.8976107799
2009-02-18,,136.679260206,,,,,45.2832595177,58.5710699205
2009-02-19,,133.17466379,,,,,58.7005215971,51.8772333582
2009-02-20,,119.156278128,,,,,31.8659974384,53.5506924988
2009-02-21,,103.385594258,,,,,23.4802086388,58.5710699205
2009-02-22,,134.926961998,,,,,33.5431551983,40.1630193741
2009-02-23,,129.670067375,,,,,58.7005215971,56.8976107799
2009-02-24,,136.679260206,,,,,63.7319948768,56.8976107799
2009-02-25,,143.688453037,,,,,58.7005215971,56.8976107799
2009-02-26,,127.917769167,,,,,57.0233638372,63.5914473423
2009-02-27,,126.165470959,,,,,41.9289439979,56.8976107799
2009-02-28,,94.6241032194,,,,,38.5746284781,48.530315077
2009-03-01,,105.137892466,,,,,28.5116819186,48.530315077
2009-03-02,,131.422365583,,,,,53.6690483173,66.9383656235
2009-03-03,,133.17466379,,,,,53.6690483173,58.5710699205
2009-03-04,,143.688453037,,,,,57.0233638372,61.9179882017
2009-03-05,,136.679260206,,,,,63.7319948768,65.2649064829
2009-03-06,,133.17466379,,,,,41.9289439979,65.2649064829
2009-03-07,,92.8718050117,,,,,31.8659974384,60.2445290611
2009-03-08,,112.147085297,,,,,62.0548371169,61.9179882017
2009-03-09,,133.17466379,,,,,50.3147327975,65.2649064829
2009-03-10,,133.17466379,,,,,50.3147327975,51.8772333582
2009-03-11,,126.165470959,,,,,63.7319948768,60.2445290611
2009-03-12,,120.908576336,,,,,46.9604172777,50.2037742176
2009-03-13,,117.40397992,,,,,38.5746284781,48.530315077
2009-03-14,,87.6149103884,,,,,28.5116819186,40.1630193741
2009-03-15,,108.642488882,,,,,51.9918905574,40.1630193741
2009-03-16,,120.908576336,,,,,41.9289439979,51.8772333582
2009-03-17,,124.413172751,,,,,40.251786238,55.2241516394
2009-03-18,,105.137892466,,,,,57.0233638372,43.5099376552
2009-03-19,,115.651681713,,,,,46.9604172777,36.8161010929
2009-03-20,,94.6241032194,,,,,40.251786238,43.5099376552
2009-03-21,,82.3580157651,,,,,25.1573663987,28.44880539
2009-03-22,,112.147085297,,,,,40.251786238,45.1833967958
2009-03-23,,126.165470959,,,,,57.0233638372,41.8364785147
2009-03-24,,110.394787089,,,,,53.6690483173,45.1833967958
2009-03-25,,112.147085297,,,,,62.0548371169,48.530315077
2009-03-26,,113.899383505,,,,,57.0233638372,55.2241516394
2009-03-27,,105.137892466,,,,,43.6061017578,36.8161010929
2009-03-28,,96.3764014272,,,,,30.1888396785,20.081509687
2009-03-29,,92.8718050117,,,,,30.1888396785,30.1222645306
2009-03-30,,119.156278128,,,,,58.7005215971,48.530315077
2009-03-31,,110.394787089,,,,,50.3147327975,36.8161010929
2009-04-01,,131.422365583,,,,,46.9604172777,41.8364785147
2009-04-02,,126.165470959,,,,,50.3147327975,50.2037742176
2009-04-03,,110.394787089,,,,,48.6375750376,35.1426419523
2009-04-04,,89.3672085961,,,,,30.1888396785,31.7957236711
2009-04-05,,122.660874544,,,,,30.1888396785,36.8161010929
2009-04-06,,106.890190674,,,,,50.3147327975,43.5099376552
2009-04-07,,112.147085297,,,,,55.3462060772,38.4895602335
2009-04-08,,115.651681713,,,,,57.0233638372,38.4895602335
2009-04-09,,98.128699635,,,,,41.9289439979,43.5099376552
2009-04-10,,91.1195068039,,,,,31.8659974384,38.4895602335
2009-04-11,,99.8809978427,,,,,28.5116819186,33.4691828117
2009-04-12,,78.8534193495,,,,,33.5431551983,26.7753462494
2009-04-13,,96.3764014272,,,,,43.6061017578,46.8568559364
2009-04-14,,120.908576336,,,,,65.4091526367,38.4895602335
2009-04-15,,110.394787089,,,,,50.3147327975,46.8568559364
2009-04-16,,119.156278128,,,,,62.0548371169,31.7957236711
2009-04-17,,87.6149103884,,,,,50.3147327975,38.4895602335
2009-04-18,,82.3580157651,,,,,28.5116819186,28.44880539
2009-04-19,,101.63329605,,,,,48.6375750376,33.4691828117
2009-04-20,,126.165470959,,,,,62.0548371169,43.5099376552
2009-04-21,,129.670067375,,,,,60.377679357,43.5099376552
2009-04-22,,113.899383505,,,,,53.6690483173,48.530315077
2009-04-23,,120.908576336,,,,,57.0233638372,43.5099376552
2009-04-24,,98.128699635,,,,,55.3462060772,40.1630193741
2009-04-25,,89.3672085961,,,,,30.1888396785,21.7549688276
2009-04-26,,117.40397992,,,,,45.2832595177,33.4691828117
2009-04-27,,113.899383505,,,,,65.4091526367,41.8364785147
2009-04-28,,120.908576336,,,,,57.0233638372,35.1426419523
2009-04-29,,122.660874544,,,,,57.0233638372,35.1426419523
2009-04-30,,129.670067375,,,,,50.3147327975,36.8161010929
2009-05-01,,98.128699635,,,,,46.9604172777,25.1018871088
2009-05-02,,94.6241032194,,,,,28.5116819186,23.4284279682
2009-05-03,,92.8718050117,,,,,50.3147327975,28.44880539
2009-05-04,,133.17466379,,,,,58.7005215971,45.1833967958
2009-05-05,,119.156278128,,,,,50.3147327975,38.4895602335
2009-05-06,,110.394787089,,,,,48.6375750376,36.8161010929
2009-05-07,,106.890190674,,,,,48.6375750376,33.4691828117
2009-05-08,,110.394787089,,,,,35.2203129582,30.1222645306
2009-05-09,,71.8442265184,,,,,21.8030508789,35.1426419523
2009-05-10,,91.1195068039,,,,,38.5746284781,25.1018871088
2009-05-11,,117.40397992,,,,,46.9604172777,36.8161010929
2009-05-12,,108.642488882,,,,,55.3462060772,35.1426419523
2009-05-13,,105.137892466,,,,,46.9604172777,33.4691828117
2009-05-14,,106.890190674,,,,,48.6375750376,38.4895602335
2009-05-15,,103.385594258,,,,,43.6061017578,23.4284279682
2009-05-16,,68.3396301029,,,,,18.4487353591,23.4284279682
2009-05-17,,85.8626121806,,,,,35.2203129582,35.1426419523
2009-05-18,,105.137892466,,,,,41.9289439979,33.4691828117
2009-05-19,,101.63329605,,,,,36.8974707182,28.44880539
2009-05-20,,117.40397992,,,,,43.6061017578,30.1222645306
2009-05-21,,110.394787089,,,,,41.9289439979,26.7753462494
2009-05-22,,91.1195068039,,,,,23.4802086388,25.1018871088
2009-05-23,,70.0919283107,,,,,21.8030508789,15.0611322653
2009-05-24,,71.8442265184,,,,,23.4802086388,21.7549688276
2009-05-25,,87.6149103884,,,,,28.5116819186,16.7345914059
2009-05-26,,96.3764014272,,,,,40.251786238,26.7753462494
2009-05-27,,94.6241032194,,,,,35.2203129582,35.1426419523
2009-05-28,,105.137892466,,,,,43.6061017578,35.1426419523
2009-05-29,,87.6149103884,,,,,33.5431551983,25.1018871088
2009-05-30,,71.8442265184,,,,,21.8030508789,18.4080505465
2009-05-31,,84.1103139728,,,,,21.8030508789,20.081509687
2009-06-01,,110.394787089,,,,,41.9289439979,25.1018871088
2009-06-02,,85.8626121806,,,,,38.5746284781,26.7753462494
2009-06-03,,84.1103139728,,,,,38.5746284781,26.7753462494
2009-06-04,,92.8718050117,,,,,38.5746284781,28.44880539
2009-06-05,,82.3580157651,,,,,31.8659974384,28.44880539
2009-06-06,,78.8534193495,,,,,20.125893119,28.44880539
2009-06-07,,78.8534193495,,,,,26.8345241587,16.7345914059
2009-06-08,,87.6149103884,,,,,41.9289439979,30.1222645306
2009-06-09,,77.1011211417,,,,,30.1888396785,28.44880539
2009-06-10,,82.3580157651,,,,,38.5746284781,25.1018871088
2009-06-11,,68.3396301029,,,,,38.5746284781,30.1222645306
2009-06-12,,78.8534193495,,,,,31.8659974384,18.4080505465
2009-06-13,,57.8258408563,,,,,13.4172620793,16.7345914059
2009-06-14,,75.348822934,,,,,30.1888396785,18.4080505465
2009-06-15,,84.1103139728,,,,,25.1573663987,26.7753462494
2009-06-16,,84.1103139728,,,,,33.5431551983,20.081509687
2009-06-17,,80.6057175573,,,,,31.8659974384,31.7957236711
2009-06-18,,70.0919283107,,,,,30.1888396785,31.7957236711
2009-06-19,,68.3396301029,,,,,23.4802086388,20.081509687
2009-06-20,,59.5781390641,,,,,20.125893119,18.4080505465
2009-06-21,,85.8626121806,,,,,26.8345241587,20.081509687
2009-06-22,,85.8626121806,,,,,23.4802086388,21.7549688276
2009-06-23,,78.8534193495,,,,,28.5116819186,23.4284279682
2009-06-24,,70.0919283107,,,,,40.251786238,21.7549688276
2009-06-25,,84.1103139728,,,,,25.1573663987,25.1018871088
2009-06-26,,73.5965247262,,,,,23.4802086388,16.7345914059
2009-06-27,,73.5965247262,,,,,18.4487353591,11.7142139841
2009-06-28,,66.5873318951,,,,,15.0944198392,16.7345914059
2009-06-29,,68.3396301029,,,,,23.4802086388,21.7549688276
2009-06-30,,85.8626121806,,,,,25.1573663987,20.081509687
2009-07-01,,71.8442265184,,,,,26.8345241587,18.4080505465
2009-07-02,,82.3580157651,,,,,21.8030508789,23.4284279682
2009-07-03,,52.568946233,,,,,23.4802086388,15.0611322653
2009-07-04,,52.568946233,,,,,15.0944198392,10.0407548435
2009-07-05,,57.8258408563,,,,,23.4802086388,11.7142139841
2009-07-06,,84.1103139728,,,,,31.8659974384,23.4284279682
2009-07-07,,66.5873318951,,,,,26.8345241587,28.44880539
2009-07-08,,80.6057175573,,,,,31.8659974384,23.4284279682
2009-07-09,,78.8534193495,,,,,26.8345241587,25.1018871088
2009-07-10,,66.5873318951,,,,,28.5116819186,26.7753462494
2009-07-11,,71.8442265184,,,,,15.0944198392,16.7345914059
2009-07-12,,57.8258408563,,,,,31.8659974384,18.4080505465
2009-07-13,,78.8534193495,,,,,30.1888396785,15.0611322653
2009-07-14,,82.3580157651,,,,,30.1888396785,30.1222645306
2009-07-15,,70.0919283107,,,,,40.251786238,31.7957236711
