date,warfare,waste,bankrupt,bankruptcy,beggar
2004-07-12,21.0,70.1926071541,0.0,69.4469802449,0.0
2004-07-13,22.0,73.4322659459,1.40967787157,66.5929947554,0.0
2004-07-14,14.0,45.3552230842,0.0,60.8850237763,0.0
2004-07-15,9.0,62.6334033068,1.87957049542,83.7169076925,0.0
2004-07-16,13.0,97.1897637519,1.87957049542,44.7124393357,0.0
2004-07-17,14.0,70.1926071541,0.0,35.1991543707,0.0
2004-07-18,20.0,39.9557917647,3.75914099085,26.6371979021,0.0
2004-07-19,11.0,77.7518110015,0.939785247712,75.1549512239,0.0
2004-07-20,13.0,63.7132895707,6.10860411013,63.7390092658,0.0
2004-07-21,26.0,80.9914697932,0.939785247712,50.4204103148,0.0
2004-07-22,13.0,72.352379682,2.34946311928,81.8142506994,0.0
2004-07-23,23.0,51.8345406677,1.87957049542,54.2257243008,0.0
2004-07-24,6.0,58.3138582511,1.40967787157,26.6371979021,0.0
2004-07-25,6.0,49.6747681399,1.40967787157,43.7611108392,0.0
2004-07-26,12.0,68.0328346263,1.40967787157,58.0310382868,0.0
2004-07-27,17.0,41.0356780286,4.22903361471,73.2522942309,0.0
2004-07-28,16.0,76.6719247376,2.34946311928,73.2522942309,0.0
2004-07-29,15.0,59.393744515,0.939785247712,66.5929947554,0.0
2004-07-30,5.0,70.1926071541,2.34946311928,52.3230673078,0.0
2004-07-31,20.0,45.3552230842,2.81935574314,23.7832124126,0.0
2004-08-01,11.0,77.7518110015,2.81935574314,38.0531398602,0.0
2004-08-02,23.0,57.2339719872,2.34946311928,70.3983087414,0.0
2004-08-03,17.0,58.3138582511,4.22903361471,71.3496372379,0.0
2004-08-04,13.0,72.352379682,0.939785247712,49.4690818183,0.0
2004-08-05,12.0,86.3909011128,3.28924836699,52.3230673078,0.0
2004-08-06,14.0,45.3552230842,0.939785247712,60.8850237763,0.0
2004-08-07,14.0,24.8373840699,2.81935574314,38.0531398602,0.0
2004-08-08,3.0,24.8373840699,1.40967787157,21.8805554196,0.0
2004-08-09,16.0,76.6719247376,5.16881886242,69.4469802449,0.0
2004-08-10,11.0,96.109877488,2.81935574314,72.3009657344,0.0
2004-08-11,5.0,46.4351093481,2.34946311928,57.0797097903,0.0
2004-08-12,18.0,46.4351093481,2.34946311928,65.6416662589,0.0
2004-08-13,10.0,65.8730620985,3.28924836699,51.3717388113,0.0
2004-08-14,8.0,44.2753368203,2.34946311928,36.1504828672,0.0
2004-08-15,20.0,63.7132895707,2.81935574314,29.4911833917,0.0
2004-08-16,13.0,58.3138582511,1.40967787157,61.8363522728,0.0
2004-08-17,6.0,73.4322659459,1.40967787157,72.3009657344,0.0
2004-08-18,14.0,61.5535170429,1.40967787157,71.3496372379,0.0
2004-08-19,6.0,76.6719247376,3.75914099085,78.0089367134,0.0
2004-08-20,14.0,51.8345406677,4.22903361471,77.0576082169,0.0
2004-08-21,5.0,43.1954505564,1.40967787157,33.2964973777,0.0
