date,radical,ruin,segregation,shortage,steal
2012-05-19,36.334757962,35.4060163523,13.3736750007,44.0452743157,72.7072837401
2012-05-20,42.0120638935,41.5105019303,26.7473500014,75.1360561856,73.861367609
2012-05-21,59.0439816882,32.9642221211,64.1936400033,67.3633607181,66.9368643956
2012-05-22,63.5597147017,33.895271787,67.2158155537,117.311114628,80.3011532688
2012-05-23,61.1151102901,39.109928985,44.8105437025,74.6525274903,72.7729201498
2012-05-24,51.3366926437,41.717257584,39.2092257397,58.6555573138,57.7164539119
2012-05-25,46.4474838204,26.07328599,33.6079077768,53.3232339216,65.2446870309
2012-05-26,31.7798573508,41.717257584,16.8039538884,69.3202040981,90.3387974274
2012-05-27,36.669066174,41.717257584,16.8039538884,58.6555573138,102.885852626
2012-05-28,36.669066174,33.895271787,33.6079077768,58.6555573138,75.2823311895
2012-05-29,53.7812970553,26.07328599,39.2092257397,63.9878807059,85.3199753481
2012-05-30,70.8935279365,31.287943188,50.4118616653,74.6525274903,92.848208467
2012-05-31,56.2259014669,33.895271787,44.8105437025,63.9878807059,70.2635091102
2012-06-01,44.0028794088,39.109928985,39.2092257397,69.3202040981,82.8105643084
2012-06-02,34.2244617624,39.109928985,16.8039538884,63.9878807059,80.3011532688
2012-06-03,53.7812970553,44.324586183,28.006589814,58.6555573138,72.7729201498
2012-06-04,39.1136705856,39.109928985,33.6079077768,47.9909105295,72.7729201498
2012-06-05,51.3366926437,23.465957391,50.4118616653,69.3202040981,75.2823311895
2012-06-06,44.0028794088,33.895271787,39.2092257397,63.9878807059,70.2635091102
2012-06-07,39.1136705856,39.109928985,33.6079077768,63.9878807059,72.7729201498
2012-06-08,48.892088232,41.717257584,39.2092257397,42.6585871373,75.2823311895
2012-06-09,34.2244617624,44.324586183,22.4052718512,47.9909105295,80.3011532688
2012-06-10,44.0028794088,36.502600386,22.4052718512,53.3232339216,80.3011532688
2012-06-11,46.4474838204,41.717257584,33.6079077768,58.6555573138,80.3011532688
2012-06-12,41.5582749972,33.895271787,28.006589814,58.6555573138,65.2446870309
2012-06-13,46.4474838204,41.717257584,28.006589814,74.6525274903,75.2823311895
2012-06-14,51.3366926437,36.502600386,44.8105437025,58.6555573138,62.7352759912
2012-06-15,41.5582749972,41.717257584,16.8039538884,58.6555573138,67.7540980705
2012-06-16,31.7798573508,44.324586183,16.8039538884,47.9909105295,90.3387974274
2012-06-17,39.1136705856,46.9319147821,16.8039538884,69.3202040981,85.3199753481
2012-06-18,44.0028794088,41.717257584,28.006589814,63.9878807059,77.7917422291
2012-06-19,41.5582749972,41.717257584,22.4052718512,74.6525274903,75.2823311895
2012-06-20,48.892088232,28.680614589,33.6079077768,63.9878807059,77.7917422291
2012-06-21,44.0028794088,39.109928985,28.006589814,53.3232339216,70.2635091102
2012-06-22,39.1136705856,39.109928985,11.2026359256,63.9878807059,72.7729201498
2012-06-23,29.3352529392,41.717257584,11.2026359256,63.9878807059,82.8105643084
2012-06-24,44.0028794088,44.324586183,16.8039538884,58.6555573138,85.3199753481
2012-06-25,36.669066174,41.717257584,22.4052718512,63.9878807059,85.3199753481
2012-06-26,46.4474838204,41.717257584,16.8039538884,63.9878807059,67.7540980705
2012-06-27,39.1136705856,44.324586183,16.8039538884,63.9878807059,80.3011532688
2012-06-28,44.0028794088,36.502600386,28.006589814,58.6555573138,70.2635091102
2012-06-29,39.1136705856,28.680614589,22.4052718512,58.6555573138,72.7729201498
2012-06-30,31.7798573508,39.109928985,16.8039538884,79.9848508824,95.3576195067
2012-07-01,36.669066174,44.324586183,11.2026359256,90.6494976668,82.8105643084
2012-07-02,44.0028794088,33.895271787,22.4052718512,85.3171742746,75.2823311895
2012-07-03,41.5582749972,44.324586183,22.4052718512,74.6525274903,77.7917422291
2012-07-04,39.1136705856,36.502600386,11.2026359256,58.6555573138,77.7917422291
2012-07-05,41.5582749972,41.717257584,16.8039538884,53.3232339216,80.3011532688
2012-07-06,36.669066174,36.502600386,11.2026359256,47.9909105295,72.7729201498
2012-07-07,31.7798573508,39.109928985,5.60131796281,58.6555573138,80.3011532688
2012-07-08,36.669066174,39.109928985,11.2026359256,63.9878807059,92.848208467
2012-07-09,39.1136705856,36.502600386,16.8039538884,74.6525274903,67.7540980705
2012-07-10,48.892088232,36.502600386,11.2026359256,63.9878807059,77.7917422291
2012-07-11,44.0028794088,39.109928985,16.8039538884,69.3202040981,77.7917422291
2012-07-12,41.5582749972,33.895271787,16.8039538884,79.9848508824,85.3199753481
2012-07-13,44.0028794088,44.324586183,16.8039538884,74.6525274903,87.8293863877
2012-07-14,29.3352529392,49.5392433811,16.8039538884,58.6555573138,82.8105643084
2012-07-15,31.7798573508,44.324586183,16.8039538884,58.6555573138,97.8670305463
